peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
126.24,1.79,V,48,0,3,6,0,0,0,N,2,2,3
72.18,1.72,M,18,0,11,0,0,1,0,S,2,3,3
111.67,1.69,V,58,0,0,0,6,0,3,N,1,3,3
66.3,1.6,M,27,0,13,0,3,0,0,N,3,2,3
56.39,1.77,V,56,170,13,1,12,5,1,N,1,3,4
81.78,1.76,V,49,0,8,0,11,2,0,N,2,4,3
117.71,1.76,V,41,0,0,0,0,0,0,N,0,1,0
76.32,1.71,V,59,20,3,0,7,2,0,N,2,2,2
89.01,1.66,M,26,0,8,1,0,0,0,N,2,0,0
93.95,1.62,M,53,0,0,0,4,0,0,N,2,4,2
47.24,1.62,M,65,100,2,6,4,0,0,N,1,1,0
58.32,1.8,V,43,90,0,3,0,0,0,N,0,1,0
112.53,1.73,V,66,0,0,0,11,2,0,N,1,3,3
118.5,1.78,V,48,0,0,5,0,0,0,N,0,2,3
94.52,1.79,V,29,10,0,2,0,0,0,N,0,0,0
97.17,1.84,M,48,0,0,0,11,12,0,N,1,3,1
50.8,1.68,V,29,30,1,0,4,3,2,N,1,3,2
84.31,1.72,V,18,0,0,0,0,0,2,N,1,2,3
95.56,1.65,M,49,0,15,4,1,1,4,N,0,0,3
80.96,1.64,M,45,0,16,0,9,5,0,N,3,1,0
89.77,1.81,V,31,0,0,0,8,4,0,N,1,2,2
129.6,1.8,V,53,0,0,0,0,0,7,N,2,1,1
48.41,1.64,M,18,20,14,1,15,15,0,S,1,2,2
85.45,1.59,M,42,0,0,1,8,0,0,N,1,1,4
60.28,1.83,V,43,110,0,0,20,19,0,N,1,3,4
58.32,1.8,V,39,20,15,5,6,5,0,N,0,0,0
81.78,1.76,V,30,0,10,5,4,5,0,N,1,2,2
74.39,1.58,M,48,0,0,1,16,9,0,N,1,1,1
45.51,1.59,M,36,30,0,0,0,0,0,N,2,3,4
58.85,1.67,M,26,0,0,0,17,12,0,N,2,1,0
97.74,1.65,M,38,0,0,0,0,4,0,N,1,2,0
88.59,1.73,V,24,0,0,0,0,3,0,N,2,3,4
58.97,1.81,V,34,20,0,3,12,15,0,N,2,4,3
86.78,1.6,M,44,0,1,0,3,0,0,N,1,3,3
112.83,1.73,M,43,0,8,1,0,0,0,N,0,0,0
63.19,1.76,V,65,30,9,0,7,4,0,N,1,2,2
69.74,1.84,V,41,0,9,0,17,12,0,N,0,2,2
112.9,1.68,V,59,0,1,0,0,2,0,N,0,0,1
98.84,1.63,M,50,0,3,2,0,1,0,N,2,3,4
87.14,1.64,M,48,0,6,1,7,2,0,N,0,2,3
72.35,1.64,M,26,0,7,3,0,7,0,N,2,2,1
103.17,1.7,M,46,0,0,0,0,13,0,N,1,2,2
112.9,1.68,V,60,0,1,4,0,0,0,N,1,0,0
73.87,1.82,V,29,0,13,4,5,10,0,N,0,1,2
47.24,1.62,M,34,160,0,4,5,2,3,N,2,3,3
121.89,1.75,V,57,0,0,1,0,3,0,N,1,2,1
100.29,1.72,V,43,0,0,2,1,0,0,N,2,4,4
104.98,1.62,M,73,0,0,0,6,0,0,N,2,1,2
70.66,1.78,V,29,0,0,1,17,2,0,N,0,2,2
52.6,1.7,M,39,0,9,0,19,10,0,N,2,2,2
49.6,1.66,V,21,0,0,1,23,18,0,N,1,2,3
84.85,1.81,V,25,0,4,0,3,6,0,N,1,2,1
96.44,1.72,V,49,10,0,0,0,7,0,N,1,2,2
51.41,1.69,V,37,60,8,0,9,11,0,S,2,2,0
101.23,1.63,M,54,0,0,3,7,1,0,N,1,1,0
89.77,1.71,V,43,0,9,1,3,6,0,N,1,3,2
100.57,1.7,V,58,0,0,4,15,12,0,N,2,1,1
110.53,1.69,V,48,0,0,1,0,0,0,N,2,4,2
47.82,1.63,M,18,0,0,5,18,17,0,N,1,2,3
49,1.65,M,46,50,0,2,18,9,0,N,1,1,1
47.82,1.63,M,26,170,0,0,2,0,2,N,0,0,0
92.34,1.74,V,41,0,4,0,0,4,0,S,2,4,2
70.71,1.72,V,19,0,0,4,0,7,0,N,1,3,3
46.66,1.61,M,44,10,0,0,23,10,0,N,2,2,3
50.2,1.67,V,52,20,5,3,23,11,0,N,2,2,1
67.49,1.78,V,49,0,18,0,15,8,5,N,3,4,4
120.47,1.79,V,46,0,0,0,0,0,1,N,0,1,3
92.23,1.56,M,59,0,0,0,0,16,0,N,0,2,1
53.87,1.73,V,47,80,0,0,13,11,0,N,2,2,1
96.16,1.75,M,18,0,1,3,0,1,0,N,1,0,0
44.94,1.58,M,64,110,3,6,3,9,0,N,2,4,1
108.86,1.88,V,29,0,2,4,0,0,2,N,1,3,3
107.58,1.64,M,55,0,0,3,0,6,0,N,0,1,2
98.76,1.61,M,43,0,3,4,0,1,0,N,1,1,0
109.05,1.67,M,50,0,0,1,6,1,0,N,1,0,1
49.6,1.66,V,48,80,3,3,5,13,3,N,1,3,4
76.68,1.78,V,25,0,12,6,2,4,0,N,1,3,4
48.41,1.64,M,22,0,0,7,29,26,0,N,1,2,3
74.23,1.64,M,46,10,0,0,4,3,0,N,2,3,3
112.43,1.8,V,50,0,14,0,0,0,0,N,0,2,2
48.41,1.64,M,18,50,0,6,7,7,0,N,1,3,4
122.5,1.75,V,61,0,0,0,0,0,0,N,1,4,4
103.96,1.69,M,46,0,0,1,0,6,0,N,1,2,2
91.68,1.69,M,54,0,0,3,7,16,0,N,1,2,3
58.32,1.8,V,48,150,10,0,5,0,0,N,1,1,0
55.76,1.76,V,27,0,0,3,20,13,0,N,2,3,4
60.28,1.83,V,40,30,3,1,6,0,0,N,3,3,1
49,1.65,M,40,80,8,4,6,0,0,N,1,3,3
40.5,1.5,M,30,60,0,0,12,5,0,N,0,2,0
90.72,1.8,V,36,0,4,2,3,7,0,N,1,3,3
56.31,1.74,V,26,20,1,4,2,0,0,N,0,1,2
50.55,1.61,M,35,10,12,0,8,2,0,N,1,1,3
91.75,1.84,V,46,0,2,5,12,9,0,N,3,4,4
80.76,1.72,V,67,30,0,0,0,1,0,N,1,3,3
96.25,1.69,V,41,0,12,4,0,0,0,N,1,2,2
70.66,1.78,V,18,0,6,2,9,3,0,N,1,2,1
89.48,1.71,M,51,10,2,2,0,10,0,N,2,3,2
95.85,1.72,V,38,0,5,0,1,0,1,N,2,3,2
52.63,1.71,M,18,70,13,1,0,0,0,N,1,1,2
56.55,1.69,V,41,0,0,0,16,13,0,N,2,4,4
109.04,1.76,V,30,0,0,3,0,0,0,N,0,0,0
50.8,1.68,M,39,40,14,0,19,20,0,N,1,2,1
93.08,1.73,V,59,0,10,0,9,4,0,N,1,3,4
94.58,1.73,M,65,0,14,4,9,7,0,N,2,3,4
71.43,1.77,V,68,0,0,0,28,15,4,N,3,4,4
95.24,1.77,V,46,0,0,0,7,2,0,N,1,3,4
62.38,1.68,M,58,30,0,4,0,0,0,N,3,4,4
53.87,1.73,V,53,60,0,0,0,5,0,N,2,3,4
61.41,1.62,M,29,0,0,0,16,2,0,N,1,2,3
110.22,1.66,M,70,0,7,1,0,2,0,N,0,1,2
97.04,1.72,V,31,0,0,4,0,0,0,N,2,2,4
69.08,1.76,V,36,10,6,3,4,2,0,N,2,3,4
93.35,1.7,V,43,0,0,0,7,5,0,N,1,1,2
57.03,1.78,V,26,0,12,2,14,9,0,N,1,4,3
72.06,1.77,V,42,0,12,2,14,10,0,S,0,2,3
53.87,1.73,V,20,170,5,0,15,10,0,N,0,0,1
96.25,1.69,M,48,0,0,3,3,1,0,N,3,4,3
62.09,1.68,V,33,10,0,0,4,5,0,N,1,3,3
97.63,1.72,M,28,0,0,3,0,3,0,N,0,2,3
93.11,1.69,V,41,0,10,2,0,0,0,N,1,4,3
125.8,1.81,V,49,0,0,0,1,1,0,N,0,3,3
106.83,1.77,V,37,0,0,7,4,10,0,N,0,0,0
111.96,1.69,M,49,0,2,2,0,4,0,N,1,2,1
43.8,1.56,M,41,70,3,3,3,7,1,N,1,2,2
90.4,1.8,V,38,0,25,0,0,3,7,N,2,4,1
50.8,1.68,M,45,90,0,0,0,0,4,N,1,2,2
77.78,1.71,V,33,0,2,0,5,3,0,N,3,4,4
70.8,1.7,V,37,0,0,4,16,5,0,N,1,3,2
79.39,1.58,M,31,0,0,0,0,1,0,N,1,3,3
117.28,1.81,V,54,0,5,2,0,6,3,N,2,4,4
57.03,1.78,V,43,70,0,3,13,8,0,N,0,2,0
75.62,1.79,V,18,0,5,0,3,0,0,N,2,4,4
71.65,1.62,M,30,0,0,0,7,1,0,N,2,3,4
116.96,1.71,M,64,0,0,6,0,2,0,N,1,2,3
93.24,1.79,V,18,0,5,1,0,1,0,N,2,1,1
62.97,1.77,V,29,0,0,1,17,9,2,N,0,2,3
52.63,1.71,M,64,90,0,4,4,7,0,N,0,2,1
89.73,1.75,V,42,0,5,0,9,4,0,N,0,2,2
55.41,1.64,M,55,30,0,3,6,4,0,N,1,2,2
63.91,1.77,V,24,0,13,0,13,4,1,N,1,2,1
92.4,1.71,M,33,0,0,0,0,0,0,N,1,2,2
61.84,1.79,V,32,0,0,0,15,12,1,S,2,3,3
126.1,1.78,M,54,0,7,3,0,0,0,N,1,1,0
77.86,1.79,V,20,10,0,4,0,0,0,N,0,1,1
50.8,1.68,V,25,140,17,0,7,8,1,N,2,2,3
49,1.65,M,24,0,9,0,20,11,2,N,1,3,4
79.77,1.65,M,25,0,0,2,1,0,0,N,2,2,3
50.2,1.67,M,63,110,16,0,0,0,5,N,0,2,0
83.11,1.64,M,34,0,11,0,0,0,0,N,2,3,2
68.42,1.74,V,26,0,0,0,13,0,0,N,0,2,3
79.36,1.66,M,34,0,0,0,9,6,0,N,1,1,0
86.53,1.66,M,41,0,0,7,0,1,NA,N,2,4,4
80.16,1.78,V,37,0,0,6,16,0,3,N,3,3,3
69.94,1.74,V,37,0,0,0,23,6,0,N,0,0,1
66.74,1.73,V,43,10,30,4,0,0,2,N,1,4,4
115.9,1.86,V,50,0,7,1,6,2,0,S,1,2,3
92.82,1.69,M,56,0,3,4,9,3,0,N,0,3,4
128.16,1.79,V,61,0,5,3,0,0,0,N,1,0,0
74.23,1.68,V,28,0,8,0,8,9,0,N,0,1,1
68.06,1.65,M,21,0,13,4,0,0,0,N,3,3,4
63.6,1.77,V,31,0,1,3,17,8,5,N,1,3,3
80.61,1.61,M,41,0,0,1,6,0,0,N,1,3,2
44.37,1.57,M,22,100,4,2,6,5,0,N,1,3,3
92.42,1.52,M,43,0,1,1,0,0,0,N,0,1,0
92.39,1.81,V,39,0,3,0,15,0,0,N,1,2,2
53.87,1.73,M,18,30,0,6,17,7,0,N,3,4,4
116.31,1.79,V,36,0,0,7,0,0,0,N,0,2,0
96.29,1.64,V,62,0,14,4,1,14,0,N,2,2,2
52.63,1.71,M,45,130,2,4,9,6,4,N,2,3,3
82.08,1.7,V,33,0,2,4,9,0,0,N,3,3,3
82.06,1.78,V,39,0,4,0,4,10,0,N,3,4,4
54.5,1.74,V,37,0,17,2,20,13,0,N,1,4,4
70.01,1.76,V,40,20,0,3,2,4,0,N,1,2,3
115.6,1.7,M,68,0,0,1,3,1,0,N,2,4,2
111.78,1.75,V,48,0,3,1,0,5,0,N,0,2,4
68.13,1.71,M,18,0,15,3,5,4,1,N,1,1,1
105.32,1.72,M,54,0,1,3,0,1,0,N,1,4,4
83.81,1.7,M,24,0,0,0,0,5,0,N,2,2,3
97.39,1.69,V,46,0,0,1,9,1,0,N,1,1,3
69.39,1.76,V,39,0,11,0,10,12,0,N,4,4,3
83.96,1.77,V,42,0,22,0,0,0,0,S,2,4,4
107.58,1.64,M,67,0,0,2,0,0,0,N,1,1,0
114.2,1.83,V,54,0,2,4,7,11,0,N,2,2,2
91.07,1.76,V,21,0,5,1,0,0,0,N,1,0,1
89.28,1.66,M,51,0,5,2,2,0,0,N,3,4,4
50.43,1.58,M,52,0,11,0,19,7,0,N,1,4,4
90.93,1.78,V,41,0,0,1,10,0,0,N,1,2,3
133.96,1.83,V,68,0,7,0,0,0,0,N,2,4,4
50.2,1.67,M,24,150,1,0,0,5,0,N,3,2,3
108.87,1.72,V,49,0,12,0,0,0,0,N,0,2,1
53.83,1.67,M,18,0,0,0,9,4,0,N,2,4,4
68.33,1.65,M,23,0,0,5,0,6,1,N,2,4,4
122.97,1.76,V,47,0,7,0,0,0,3,N,0,0,0
124.69,1.77,V,72,0,0,0,9,0,0,N,2,3,3
79.61,1.73,V,39,0,2,0,12,10,0,N,0,2,0
79.48,1.67,V,23,0,0,6,0,7,0,N,2,3,3
61.16,1.74,V,22,0,0,1,16,6,0,N,1,2,2
67.07,1.6,M,19,0,8,0,0,5,0,N,1,2,2
67.05,1.7,V,18,0,2,0,10,0,0,N,1,2,1
58.32,1.8,V,56,80,17,1,0,0,0,N,1,3,3
92.42,1.52,M,72,0,0,5,2,5,0,N,2,4,4
81.16,1.67,M,47,0,0,0,15,0,0,N,3,3,3
69.66,1.64,M,21,0,0,2,5,0,0,N,1,2,3
76.33,1.66,V,36,0,0,0,11,9,0,N,1,1,1
96.02,1.64,V,55,0,5,2,2,1,0,N,0,2,4
50.2,1.67,M,18,70,0,1,8,9,0,N,2,4,3
71.37,1.66,V,24,0,1,5,11,1,0,N,0,1,1
53.87,1.73,V,63,100,0,1,0,0,0,N,3,3,2
79.88,1.64,M,18,0,1,1,0,0,4,N,0,1,0
57.03,1.78,V,27,20,18,2,0,2,1,N,1,3,3
68.24,1.82,V,45,30,0,0,1,0,0,N,1,1,2
107.34,1.79,M,27,0,0,3,1,0,0,N,0,2,0
84.39,1.68,M,39,0,0,1,3,8,5,N,1,3,3
69.4,1.69,V,26,0,18,6,0,4,0,N,2,3,2
106.64,1.66,M,45,0,0,2,4,0,0,N,1,0,0
94.42,1.78,V,24,0,0,6,5,0,0,N,2,2,1
116.46,1.84,V,59,0,9,0,0,7,1,N,2,4,4
56.42,1.62,M,60,30,11,0,0,0,0,N,0,2,3
91.75,1.67,M,34,0,0,0,0,0,0,N,3,4,4
82.22,1.65,M,26,0,2,7,2,1,0,N,0,3,4
56.39,1.77,V,62,160,8,6,0,8,0,N,2,4,3
102.33,1.74,V,36,0,1,2,0,4,5,N,1,2,2
52.02,1.7,V,51,60,12,7,0,5,0,N,2,3,1
73.16,1.64,M,21,0,5,3,0,2,0,N,0,3,2
98.73,1.67,V,49,0,0,1,10,2,0,N,1,0,0
97.26,1.76,V,34,0,6,0,0,0,0,N,0,2,3
122.93,1.78,V,50,0,5,8,0,6,0,N,0,1,0
58.42,1.66,M,28,0,11,1,9,0,0,N,3,4,4
53.5,1.6,M,18,0,0,2,9,10,0,N,1,3,2
106.28,1.63,M,66,0,0,1,1,3,0,N,0,0,0
51.41,1.69,V,50,100,4,0,0,0,2,N,2,1,1
54.5,1.74,V,40,160,10,4,0,0,1,S,0,1,2
48.41,1.64,M,41,130,8,6,0,1,0,N,1,2,4
47.24,1.62,M,26,220,10,0,15,4,0,N,1,2,2
81.16,1.67,M,20,0,0,4,0,0,0,N,1,2,2
125.32,1.77,V,77,0,0,1,9,8,0,N,0,0,0
56.39,1.77,V,23,50,0,8,0,0,0,N,2,4,4
120.53,1.8,V,61,0,6,1,1,2,0,S,4,4,4
66.67,1.71,V,32,0,4,0,17,10,0,N,0,1,0
119.72,1.73,V,54,0,0,0,0,3,0,N,2,1,2
55.12,1.75,M,61,70,25,0,10,9,0,N,0,0,1
91.52,1.71,V,28,0,0,1,6,0,0,N,1,2,1
50.8,1.68,M,48,20,15,2,4,4,0,N,2,4,4
66.9,1.58,M,22,0,0,0,4,0,0,N,3,4,3
57.03,1.78,V,34,40,17,1,6,1,2,N,2,3,4
74.66,1.79,V,22,0,0,0,6,10,0,N,0,2,3
91.2,1.67,M,57,0,4,0,18,9,0,N,0,0,0
52.02,1.7,M,45,190,0,1,3,0,0,N,1,2,1
73.66,1.72,V,36,0,0,2,17,4,0,N,2,2,2
49,1.65,M,47,10,16,2,8,11,0,N,2,4,4
102.51,1.66,M,47,0,1,4,2,7,0,N,0,1,3
68.35,1.53,M,51,10,26,1,5,0,0,N,1,0,0
50.2,1.67,M,30,50,0,0,16,4,0,N,1,4,4
67.49,1.63,M,60,0,0,0,22,15,0,N,2,4,3
73.21,1.57,M,25,0,0,5,4,1,0,N,2,3,1
75.46,1.63,M,55,0,12,0,9,12,0,N,1,2,3
91.64,1.79,V,24,0,11,1,0,0,0,N,1,1,0
98.7,1.74,V,39,0,0,0,1,0,2,N,3,4,3
110.64,1.72,V,59,0,0,5,11,11,0,N,0,0,0
86.02,1.6,M,21,0,0,4,0,0,0,N,1,1,2
97.2,1.61,M,66,0,5,3,9,1,2,N,3,3,2
63.29,1.83,V,19,0,0,2,8,9,0,N,4,4,2
53.25,1.72,M,30,90,0,0,7,0,0,N,2,4,4
98.73,1.67,M,48,0,0,3,2,3,1,N,2,4,4
109.65,1.77,V,39,0,0,0,2,0,1,N,2,2,2
118.34,1.72,V,66,0,18,1,0,0,0,N,0,0,0
114.33,1.73,V,52,0,0,1,0,6,0,N,1,2,3
122.62,1.78,V,54,0,0,2,0,2,10,N,2,4,4
71.91,1.62,M,48,0,0,2,16,16,2,N,1,2,2
131.04,1.81,M,58,0,0,4,0,0,0,N,1,2,3
48.41,1.64,M,55,50,0,2,0,0,3,N,2,3,4
60.2,1.78,V,27,0,9,2,9,12,0,N,1,2,4
55.12,1.75,V,44,160,0,3,16,5,0,N,3,3,3
111.42,1.74,V,33,0,0,7,0,0,2,N,1,1,1
45.51,1.59,M,24,0,5,0,16,8,0,N,3,4,4
109.34,1.77,V,43,0,0,0,3,5,0,N,2,3,2
94.74,1.71,M,53,0,8,3,6,7,0,N,2,2,3
57.03,1.78,V,61,100,9,0,14,0,0,N,0,1,1
91.48,1.65,M,33,0,5,0,0,0,5,N,0,1,1
94.42,1.56,M,46,0,0,3,2,0,0,N,2,2,3
55.12,1.75,V,60,80,11,2,0,0,0,N,1,0,1
49.6,1.66,M,37,40,1,2,0,1,0,N,1,2,1
104.15,1.63,M,60,0,14,0,0,3,0,N,2,3,4
42.69,1.54,M,47,40,0,0,6,2,0,N,1,2,2
49,1.65,M,33,0,12,1,20,16,0,N,2,3,2
110.22,1.66,M,44,0,0,0,0,0,0,N,0,0,0
55.91,1.72,V,23,0,0,0,16,16,0,N,2,2,2
111.2,1.68,M,44,0,0,0,4,0,0,N,0,0,0
111.56,1.67,M,57,0,3,7,0,0,0,N,0,0,0
63.58,1.74,V,24,0,10,1,11,0,0,N,1,2,1
75.44,1.71,V,23,0,0,2,5,0,1,N,2,3,3
69.83,1.75,M,50,0,0,4,22,17,0,N,1,0,1
52.63,1.71,M,27,250,2,2,0,1,0,S,2,4,4
57.41,1.69,M,44,0,0,3,21,16,0,N,2,3,3
106.97,1.68,M,43,0,0,0,0,1,0,N,0,1,1
46.08,1.6,M,32,50,10,2,11,5,0,N,1,3,3
98.37,1.77,M,20,0,0,1,3,0,0,N,0,0,0
83.33,1.76,V,45,0,20,0,11,0,0,N,2,2,4
75.67,1.57,M,38,0,3,2,0,0,0,S,1,4,4
90.65,1.75,V,26,0,4,0,4,5,0,N,0,1,0
117.09,1.76,M,52,0,2,4,0,0,4,N,1,3,3
86.87,1.64,M,46,0,0,5,8,4,0,N,1,3,3
49,1.65,M,26,30,25,0,11,4,0,N,1,2,3
100.59,1.72,M,34,0,4,0,0,0,1,N,1,2,2
54.5,1.74,V,18,120,2,3,9,9,0,N,2,3,3
52.63,1.71,V,25,0,9,0,18,17,1,N,1,2,3
88.48,1.65,M,35,0,0,1,7,0,0,N,0,1,1
97.9,1.64,M,53,0,0,5,6,1,3,N,0,3,2
65.54,1.6,M,19,0,0,2,4,0,0,N,2,3,2
53.25,1.72,M,55,70,0,2,0,0,0,N,0,1,0
81.44,1.67,M,46,0,5,0,9,3,0,N,1,3,3
96.65,1.76,V,51,10,14,1,3,0,0,N,1,1,0
91.45,1.64,M,34,0,0,0,0,0,2,N,3,3,2
51.41,1.69,M,29,70,0,0,17,0,5,N,1,1,2
82.43,1.61,M,41,0,14,8,0,0,0,N,2,3,3
117.21,1.83,V,37,0,0,0,0,0,0,N,1,3,3
64.77,1.6,M,40,0,2,0,24,4,0,N,0,0,0
59.14,1.56,M,31,0,10,1,17,1,0,N,0,1,0
46.08,1.6,M,22,0,0,0,32,12,0,N,2,4,4
54.17,1.58,M,43,10,15,2,10,0,0,N,0,1,1
51.41,1.69,V,51,80,0,0,0,0,0,N,0,2,3
110.22,1.79,V,53,0,0,2,11,10,0,N,2,1,1
116.63,1.79,V,49,0,0,1,7,0,6,N,1,2,3
52.63,1.71,V,36,180,3,0,0,8,5,N,0,1,2
54.5,1.74,V,42,180,0,1,3,1,3,S,0,0,0
67.4,1.69,V,23,0,0,0,8,5,1,N,3,4,2
60.66,1.61,M,39,0,0,0,20,6,0,S,2,3,3
115.6,1.7,M,52,0,0,2,0,0,2,N,2,2,2
71.06,1.65,M,38,0,0,0,13,8,0,N,2,1,1
85.76,1.65,M,29,0,4,7,0,0,0,N,0,2,3
99.31,1.74,V,33,0,0,1,0,0,0,N,1,3,3
101.36,1.82,V,30,0,0,0,0,0,0,N,3,4,4
97.21,1.86,V,45,20,0,1,0,0,0,N,2,1,1
55.12,1.75,V,48,0,2,0,30,16,0,N,2,4,4
54.5,1.74,V,35,30,2,1,4,0,0,N,0,0,1
71.09,1.81,V,20,0,0,0,6,12,0,N,2,3,2
84.22,1.6,M,70,0,2,0,21,7,0,N,1,1,2
63.45,1.5,M,29,0,13,4,0,0,1,N,1,2,3
109.32,1.67,M,45,0,0,5,0,7,0,N,0,0,1
114.33,1.73,V,40,0,0,5,0,0,0,N,0,0,1
73.1,1.71,V,46,20,3,0,0,1,3,N,2,2,3
114.24,1.69,M,72,0,0,3,0,0,0,N,2,3,3
101.47,1.72,V,37,0,1,6,0,3,0,N,2,2,2
53.87,1.73,M,31,110,4,5,0,0,0,N,1,2,4
55.76,1.76,V,67,80,0,2,9,1,0,N,0,0,0
47.24,1.62,M,67,130,0,0,23,15,0,N,1,2,0
67.49,1.67,M,47,0,16,1,15,3,5,N,0,2,2
60.28,1.83,V,47,80,0,3,0,4,0,N,1,3,3
125.32,1.77,V,47,0,0,0,0,0,0,N,0,0,0
49.6,1.66,M,29,0,0,4,21,21,7,N,1,2,1
51.41,1.69,V,41,50,9,1,6,9,0,N,2,4,4
55.76,1.76,V,44,20,0,1,13,8,0,N,1,3,3
98.26,1.7,V,48,0,0,0,4,0,0,N,2,4,4
71.23,1.73,M,20,0,7,2,4,0,0,N,1,3,4
54.5,1.74,M,63,30,16,6,2,0,3,N,3,4,4
120.19,1.76,V,44,0,0,6,0,2,0,N,1,2,1
111.56,1.67,M,63,0,0,1,0,6,0,N,2,3,4
67.17,1.68,M,18,0,1,0,4,2,0,N,1,2,3
80.86,1.65,M,52,0,0,0,9,9,0,N,1,4,4
107.8,1.7,V,76,0,0,0,16,6,0,N,1,2,3
50.2,1.67,M,28,70,6,1,10,8,0,N,2,3,2
